Time_slot,Cluster number,Centroid Latitude,Centroid Longitude,Order density,Average unit price per customer,Average Tips per customer,Percentage of tips
0,0,40.77588326518626,-73.98090225367093,80.88875,9.901889014232511,1.0979074311597374,0.09560360316111743
0,1,40.75880725228214,-73.97180470477349,169.17541666666668,9.970199735153273,1.2128265615161136,0.10439438683182713
0,2,40.69614360308863,-73.97371287277171,21.16486111111111,12.462335172947823,1.44272621680327,0.10188448958950948
0,3,40.64624890136005,-73.78377580383783,15.409583333333334,45.67880251286628,4.7063020847416315,0.09161035744830769
0,4,40.73947645757008,-74.00098580351505,111.20986111111111,10.020295787119196,1.2541119205306306,0.11031088330898035
0,5,40.72714402419894,-73.99063678815932,107.2473611111111,10.307725481460954,1.2361874094286203,0.1075283910420001
0,6,40.77113832483411,-73.8701641415339,22.229305555555555,27.950360884967917,3.954158049621683,0.12033178150969547
0,7,40.71550307756844,-74.00785575425996,64.65069444444444,12.556658646358096,1.5884552026381096,0.1135729838623399
0,8,40.74355501669861,-73.98305282344323,120.08777777777777,9.781512481610672,1.2101006555390064,0.10811415421881031
0,9,40.67493281138789,-74.36947639679715,0.07805555555555556,17.43683274021352,1.816512455516014,0.0963600714906988
0,10,40.77418882396665,-73.95463152136736,100.04472222222222,10.176182124105608,1.07344153031561,0.09038662516430884
0,11,40.80172303014576,-73.96032777399667,36.56527777777778,11.25583150377939,1.159610210050518,0.08772282316992201
0,12,40.75677051794857,-73.98934056960711,132.11513888888888,10.399599728351426,1.156659647676849,0.09605192401367962
1,0,40.74775609006924,-73.97961932420938,79.83041666666666,10.367626722618606,1.292950838496188,0.10847522467379048
1,1,40.771999987810105,-73.98248843398679,54.31805555555555,10.587923802705259,1.1261204326369878,0.09224937644471184
1,2,40.77130607355123,-73.86886470419999,22.284166666666668,27.75913858868405,3.836657317726836,0.11837941744191628
1,3,40.756267536997925,-73.92404799706738,5.92,14.171883915165166,1.2969653246997004,0.07700824876427162
1,4,40.77572851571555,-73.95519324552211,66.30638888888889,10.46124527132043,1.0671075981449747,0.08890504013294115
1,5,40.64635930489962,-73.78460547836552,14.598611111111111,45.32370259727905,4.872738369327364,0.09515740057694697
1,6,40.73365681271059,-73.98670911771092,83.46222222222222,10.460742335188241,1.2793679109643767,0.10990138153951744
1,7,40.74779875262533,-73.99418083066354,82.38583333333334,10.741222364956219,1.2533954731969166,0.10219156868538816
1,8,40.75985790381308,-73.987020822688,93.76833333333333,10.916765151111191,1.213541514844506,0.09540869872448939
1,9,40.72251792163439,-73.99260842323783,70.40763888888888,11.304837878623493,1.3604200341266635,0.10888364883369207
1,10,40.71406881433112,-74.00904857980565,44.007222222222225,13.672879167560879,1.7917799477358516,0.11876367943253378
1,11,40.735086815350705,-74.00313527860435,84.4588888888889,10.90687385710339,1.3182885493270897,0.10807484104791931
1,12,40.75958818820968,-73.9702523065462,105.93166666666667,10.338422581118852,1.2797487242824264,0.10773309719002315
1,13,40.63725701735358,-74.32952766594364,0.06402777777777778,28.196160520607375,3.2670281995661603,0.10957884770822922
1,14,40.731434466367716,-73.26651464125561,0.030972222222222224,25.253363228699552,2.6771300448430497,0.11103999821171114
1,15,40.81045609782928,-73.95207304856166,15.510694444444445,12.603837137458923,1.2494381116971265,0.08542001087440905
1,16,40.68363444624342,-73.98336130632352,16.812916666666666,13.480540424442186,1.480159599514261,0.09736600287898528
1,17,40.789649724218926,-73.97333753417806,28.904722222222222,10.854360350577087,1.1016082531689353,0.08942034262470738
1,18,40.71470135235926,-73.95500883836849,14.825555555555555,12.172775987409128,1.4263312223637858,0.10398304653469502
2,0,40.72944606874534,-73.99601929590425,252.51666666666668,11.679612489824652,1.3739201042835467,0.1072496566524224
2,1,40.68208181457434,-73.9823164079127,16.434444444444445,13.72249137989318,1.4338545399229254,0.09207946191295817
2,2,40.71865824044181,-73.95205489012446,23.914722222222224,12.6861263981973,1.4055609050677742,0.09824917722989956
2,3,40.78416095363895,-73.95884857553372,73.84611111111111,11.54375343243833,1.095274613874199,0.08459272684983288
2,4,40.75653287011919,-73.98221705089641,230.59597222222223,11.314450418631433,1.2408901752765027,0.09798392555930369
2,5,40.768191934480605,-73.87741129545495,13.606805555555555,23.539760638569348,2.867939450234257,0.09801006769686493
2,6,40.646711109936554,-73.78358242024065,10.353194444444444,44.362582402103484,5.092254403498649,0.10047612436406375
3,0,40.67976465889591,-73.98144143923041,8.28736111111111,13.604725234208718,1.3210254906232708,0.0863792782357255
3,1,40.740038148220904,-74.00337929807266,52.12361111111111,11.879322923605747,1.2560388766020947,0.09822000699563228
3,2,40.81698354959166,-73.9453609307889,5.0633333333333335,12.791201174017994,1.0107079767390823,0.06691316137563617
3,3,40.79015063829684,-73.97329223771328,11.564861111111112,11.913522884215837,1.1339840513048378,0.0871033891050425
3,4,40.72512784998645,-73.98803899755889,69.67569444444445,12.046373316854872,1.3828914913338608,0.1070905096702646
3,5,40.64635664044146,-73.77965739692551,1.7618055555555556,40.97390697674419,3.8484525029562464,0.07942727302000561
3,6,40.76170260808301,-73.98755566028218,44.98791666666666,12.673288259501778,1.2197799717825464,0.09007488543586106
3,7,40.72281989787048,-73.83998506736202,0.6395833333333333,14.14199782844734,0.8813745928338762,0.04826975613192019
3,8,40.743705293110246,-73.9862507411857,47.26847222222222,11.608541751754899,1.2168635130886518,0.09819475615719135
3,9,40.75744876167312,-73.92335104086521,5.625277777777778,12.58146733494642,0.8711893239840005,0.05760939546670832
3,10,40.75741873444833,-73.97066160861719,29.972638888888888,11.668758590010333,1.1853203616261123,0.09560938275408756
